pid,rating_average,reviews_count,item,price,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,category
42873230.0,0.0,0,Combo Sách Văn Học Hay:  Dám Bị Ghét + Lòng Tốt Của Bạn Cần Thêm Đôi Phần Sắc Sảo - (Cuốn Sách Tạo Động Lực Cho Bạn / Tặng Kèm Bookmark Greenlife),187680.0,Nhiều công ty phát hành,,,Bìa mềm,,sách văn học
42891769.0,0.0,0,Combo 2 Cuốn Sách Tư Duy - Kỹ Năng Sống Bán Chạy : Ba Người Thầy Vĩ Đại + Cái Đuôi Dài (Tặng kèm Bookmark Happy Life / Cuốn Sách Thay Đổi Tư Duy Cho Các Bạn Trẻ),221500.0,Thái Hà,,,Bìa mềm,,sách bán chạy
42954011.0,0.0,0,Combo Sách Kỹ Năng Bán Chạy: Người Thông Minh Giải Quyết Vấn Đề Như Thế Nào? + Bí Quyết Đơn Giản Hóa Cuộc Sống (Tuyệt Chiêu Phát Triển Bộ Não Và Bí Quyết Đơn Gỉan Hóa Cuộc Sống / Tặng Kèm Bookmark Green Life),171506.0,First News - Trí Việt,,,Bìa mềm,,sách bán chạy
42969033.0,0.0,0,Combo 2 Cuốn Sách Kỹ Năng Hay: Tôi Tài Giỏi - Bạn Cũng Thế (Tái Bản 2019 ) + Giá Như Tôi Biết Những Điều Này Trước Khi Thi Đại Học (Tái Bản 2019) / Bộ Những Cuốn Sách Kỹ Năng Làm Việc - Kỹ Năng Sống Hay Nhất ,239500.0,Nhiều công ty phát hành,,,Bìa mềm,,sách kĩ năng sống
43070997.0,0.0,0,Sách Kỹ Năng Sống và nuôi dưỡng tâm hồn- Combo 2 cuốn Vì mình là cô gái tuổi teen + Mẹ hãy buông tay để con được lớn (Nhật kí tuổi teen tập 1+2 ),93300.0,Việt An Book,,,,,sách kĩ năng sống
43749397.0,0.0,0,combo The Magic - Phép màu + Làm Chủ Tư Duy Thay Đổi Vận Mệnh,295000.0,TGM Books,,,,,sách tư duy
43802131.0,0.0,0,Combo Sách Văn Học: Rừng Na Uy (Tái Bản Lần 4) + Trăm Năm Cô Đơn - (Những Cuốn sách Được Ưa Chuộng Nhất),242440.0,Nhã Nam,,,Bìa mềm,,sách nhật bản
43899828.0,0.0,0,"Bộ Combo 2 Cuốn cẩm Nang Sống Đẹp Cho Phái Nữ Bán Chạy Nhất: Đừng Chỉ Đẹp Mà Không Hiểu Chuyện + Càng Mạnh Mẽ, Càng Dịu Dàng",149000.0,Skybooks,,,Bìa mềm,,sách bán chạy
44335819.0,5.0,1,Sách IRED Books - Suy tưởng - Blaise Pascal,130500.0,Viện Nghiên Cứu Phát Triển Giáo Dục Ired,2019-01-12 00:00:00,14 x 21 cm,Bìa mềm,396.0,sách
44607691.0,0.0,0,Sách Thách thức bán hàng-Sách Kinh Doanh-Kinh Tế,120250.0,MCBOOKS,,,Bìa mềm,464.0,sách kinh tế
44607887.0,0.0,0,Sách Iacocca - Đời kinh doanh-Sách Kinh Tế Doanh Nhân,125400.0,MCBOOKS,,,Bìa mềm,606.0,sách kinh tế
